Country_ID,Geography,Category,Data Type,Unit,Current Constant,2021
1,Algeria,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,DZD million,Current Prices,31650.2
1,Algeria,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,DZD million,Current Prices,503.2
1,Algeria,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,DZD million,Current Prices,1987
1,Algeria,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,DZD million,Current Prices,242.4
1,Algeria,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,DZD million,Current Prices,4847.8
1,Algeria,Consumer Expenditure on Education,Socio-economic indicators,DZD million,Current Prices,120126.5
1,Algeria,Consumer Expenditure on Personal Care,Socio-economic indicators,DZD million,Current Prices,164592
1,Algeria,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,DZD million,Current Prices,63877.4
1,Algeria,Disposable Income,Socio-economic indicators,DZD million,Current Prices,10215746.8
1,Algeria,Total Population,Socio-economic indicators,0,-,44178.0
2,Angola,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,AOA million,Current Prices,14896.8
2,Angola,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,AOA million,Current Prices,19755.6
2,Angola,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,AOA million,Current Prices,128142.2
2,Angola,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,AOA million,Current Prices,116428.6
2,Angola,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,AOA million,Current Prices,45288.4
2,Angola,Consumer Expenditure on Education,Socio-economic indicators,AOA million,Current Prices,274634.9
2,Angola,Consumer Expenditure on Personal Care,Socio-economic indicators,AOA million,Current Prices,489844.5
2,Angola,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,AOA million,Current Prices,119921.4
2,Angola,Disposable Income,Socio-economic indicators,AOA million,Current Prices,30955635.4
2,Angola,Total Population,Socio-economic indicators,0,-,34503.8
3,Argentina,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,ARS million,Current Prices,190200.7
3,Argentina,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,ARS million,Current Prices,9742.7
3,Argentina,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,ARS million,Current Prices,602305.2
3,Argentina,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,ARS million,Current Prices,971221.5
3,Argentina,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,ARS million,Current Prices,293180.7
3,Argentina,Consumer Expenditure on Education,Socio-economic indicators,ARS million,Current Prices,874601.6
3,Argentina,Consumer Expenditure on Personal Care,Socio-economic indicators,ARS million,Current Prices,699663.6
3,Argentina,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,ARS million,Current Prices,86813.5
3,Argentina,Disposable Income,Socio-economic indicators,ARS million,Current Prices,28128656.8
3,Argentina,Total Population,Socio-economic indicators,0,-,45120.3
4,Australia,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,AUD million,Current Prices,32313.7
4,Australia,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,AUD million,Current Prices,3435.9
4,Australia,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,AUD million,Current Prices,2227.8
4,Australia,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,AUD million,Current Prices,19229.8
4,Australia,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,AUD million,Current Prices,6427.3
4,Australia,Consumer Expenditure on Education,Socio-economic indicators,AUD million,Current Prices,57668.7
4,Australia,Consumer Expenditure on Personal Care,Socio-economic indicators,AUD million,Current Prices,22223.7
4,Australia,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,AUD million,Current Prices,9280.1
4,Australia,Disposable Income,Socio-economic indicators,AUD million,Current Prices,1264951.4
4,Australia,Total Population,Socio-economic indicators,0,-,25688.1
5,Austria,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,EUR million,Current Prices,399.7
5,Austria,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,EUR million,Current Prices,183.4
5,Austria,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,EUR million,Current Prices,5223.1
5,Austria,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,EUR million,Current Prices,68.1
5,Austria,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,EUR million,Current Prices,2153.3
5,Austria,Consumer Expenditure on Education,Socio-economic indicators,EUR million,Current Prices,1938.4
5,Austria,Consumer Expenditure on Personal Care,Socio-economic indicators,EUR million,Current Prices,5336.9
