Country_ID,Geography,Category,Data Type,Unit,Current Constant,Value
3,Argentina,Action Figures and Accessories,Retail Value RSP,ARS million,Current Prices,2189
3,Argentina,Arts and Crafts,Retail Value RSP,ARS million,Current Prices,3847.4
3,Argentina,Baby and Infant,Retail Value RSP,ARS million,Current Prices,7313.1
3,Argentina,Construction,Retail Value RSP,ARS million,Current Prices,1824.6
3,Argentina,Dolls and Accessories,Retail Value RSP,ARS million,Current Prices,2707.5
3,Argentina,Dress-Up and Role Play,Retail Value RSP,ARS million,Current Prices,1860.4
3,Argentina,Games and Puzzles,Retail Value RSP,ARS million,Current Prices,4745.9
3,Argentina,Model Vehicles,Retail Value RSP,ARS million,Current Prices,2666
3,Argentina,Outdoor and Sports,Retail Value RSP,ARS million,Current Prices,2436.8
3,Argentina,Plush,Retail Value RSP,ARS million,Current Prices,1833.6
3,Argentina,Pre-School,Retail Value RSP,ARS million,Current Prices,1535.9
3,Argentina,Remote Control Toys,Retail Value RSP,ARS million,Current Prices,503.1
3,Argentina,Ride-On Vehicles,Retail Value RSP,ARS million,Current Prices,1519.4
3,Argentina,Scientific/Educational,Retail Value RSP,ARS million,Current Prices,107.4
3,Argentina,Other Traditional Toys and Games,Retail Value RSP,ARS million,Current Prices,550.3
3,Argentina,Video Games Hardware,Retail Value RSP,ARS million,Current Prices,10042
3,Argentina,Video Games Software,Retail Value RSP,ARS million,Current Prices,84016.2
4,Australia,Action Figures and Accessories,Retail Value RSP,AUD million,Current Prices,88.7
4,Australia,Arts and Crafts,Retail Value RSP,AUD million,Current Prices,77.9
4,Australia,Baby and Infant,Retail Value RSP,AUD million,Current Prices,57.9
4,Australia,Construction,Retail Value RSP,AUD million,Current Prices,261.1
4,Australia,Dolls and Accessories,Retail Value RSP,AUD million,Current Prices,147
4,Australia,Dress-Up and Role Play,Retail Value RSP,AUD million,Current Prices,42.6
4,Australia,Games and Puzzles,Retail Value RSP,AUD million,Current Prices,92
4,Australia,Model Vehicles,Retail Value RSP,AUD million,Current Prices,56.7
4,Australia,Outdoor and Sports,Retail Value RSP,AUD million,Current Prices,209.2
4,Australia,Plush,Retail Value RSP,AUD million,Current Prices,59.8
4,Australia,Pre-School,Retail Value RSP,AUD million,Current Prices,142.8
4,Australia,Remote Control Toys,Retail Value RSP,AUD million,Current Prices,58.5
4,Australia,Ride-On Vehicles,Retail Value RSP,AUD million,Current Prices,56.7
4,Australia,Scientific/Educational,Retail Value RSP,AUD million,Current Prices,103.1
4,Australia,Other Traditional Toys and Games,Retail Value RSP,AUD million,Current Prices,86.5
4,Australia,Video Games Hardware,Retail Value RSP,AUD million,Current Prices,1257.2
4,Australia,Video Games Software,Retail Value RSP,AUD million,Current Prices,3571.1
13,Brazil,Action Figures and Accessories,Retail Value RSP,BRL million,Current Prices,1920.6
13,Brazil,Arts and Crafts,Retail Value RSP,BRL million,Current Prices,110.9
13,Brazil,Baby and Infant,Retail Value RSP,BRL million,Current Prices,1593.6
13,Brazil,Construction,Retail Value RSP,BRL million,Current Prices,558.6
13,Brazil,Dolls and Accessories,Retail Value RSP,BRL million,Current Prices,3544.2
13,Brazil,Dress-Up and Role Play,Retail Value RSP,BRL million,Current Prices,104.3
13,Brazil,Games and Puzzles,Retail Value RSP,BRL million,Current Prices,1522.9
13,Brazil,Model Vehicles,Retail Value RSP,BRL million,Current Prices,1622.5
13,Brazil,Outdoor and Sports,Retail Value RSP,BRL million,Current Prices,390.3
13,Brazil,Plush,Retail Value RSP,BRL million,Current Prices,210.1
13,Brazil,Pre-School,Retail Value RSP,BRL million,Current Prices,871
13,Brazil,Remote Control Toys,Retail Value RSP,BRL million,Current Prices,233.5
13,Brazil,Ride-On Vehicles,Retail Value RSP,BRL million,Current Prices,335.2
13,Brazil,Scientific/Educational,Retail Value RSP,BRL million,Current Prices,79.5
13,Brazil,Other Traditional Toys and Games,Retail Value RSP,BRL million,Current Prices,101.6
13,Brazil,Video Games Hardware,Retail Value RSP,BRL million,Current Prices,1577.5
13,Brazil,Video Games Software,Retail Value RSP,BRL million,Current Prices,9768
17,Canada,Action Figures and Accessories,Retail Value RSP,CAD million,Current Prices,158.1
17,Canada,Arts and Crafts,Retail Value RSP,CAD million,Current Prices,244.8
17,Canada,Baby and Infant,Retail Value RSP,CAD million,Current Prices,125.3
17,Canada,Construction,Retail Value RSP,CAD million,Current Prices,223.8
17,Canada,Dolls and Accessories,Retail Value RSP,CAD million,Current Prices,186.7
17,Canada,Dress-Up and Role Play,Retail Value RSP,CAD million,Current Prices,105.7
17,Canada,Games and Puzzles,Retail Value RSP,CAD million,Current Prices,412.5
17,Canada,Model Vehicles,Retail Value RSP,CAD million,Current Prices,158.3
17,Canada,Outdoor and Sports,Retail Value RSP,CAD million,Current Prices,265.6
17,Canada,Plush,Retail Value RSP,CAD million,Current Prices,122.1
17,Canada,Pre-School,Retail Value RSP,CAD million,Current Prices,180.1
17,Canada,Remote Control Toys,Retail Value RSP,CAD million,Current Prices,137.7
17,Canada,Ride-On Vehicles,Retail Value RSP,CAD million,Current Prices,71
17,Canada,Scientific/Educational,Retail Value RSP,CAD million,Current Prices,187
17,Canada,Other Traditional Toys and Games,Retail Value RSP,CAD million,Current Prices,73.3
17,Canada,Video Games Hardware,Retail Value RSP,CAD million,Current Prices,842.6
17,Canada,Video Games Software,Retail Value RSP,CAD million,Current Prices,3710
19,China,Action Figures and Accessories,Retail Value RSP,CNY million,Current Prices,3809.9
19,China,Arts and Crafts,Retail Value RSP,CNY million,Current Prices,3669.3
19,China,Baby and Infant,Retail Value RSP,CNY million,Current Prices,5846.1
19,China,Construction,Retail Value RSP,CNY million,Current Prices,13172.5
19,China,Dolls and Accessories,Retail Value RSP,CNY million,Current Prices,8803.9
19,China,Dress-Up and Role Play,Retail Value RSP,CNY million,Current Prices,5714.1
19,China,Games and Puzzles,Retail Value RSP,CNY million,Current Prices,9017.8
19,China,Model Vehicles,Retail Value RSP,CNY million,Current Prices,5418.2
19,China,Outdoor and Sports,Retail Value RSP,CNY million,Current Prices,2713.5
19,China,Plush,Retail Value RSP,CNY million,Current Prices,4782.3
19,China,Pre-School,Retail Value RSP,CNY million,Current Prices,5149.8
19,China,Remote Control Toys,Retail Value RSP,CNY million,Current Prices,6486.9
19,China,Ride-On Vehicles,Retail Value RSP,CNY million,Current Prices,6377.7
19,China,Scientific/Educational,Retail Value RSP,CNY million,Current Prices,2378.6
19,China,Other Traditional Toys and Games,Retail Value RSP,CNY million,Current Prices,1939.1
19,China,Video Games Hardware,Retail Value RSP,CNY million,Current Prices,5602.4
19,China,Video Games Software,Retail Value RSP,CNY million,Current Prices,300479.6
33,France,Action Figures and Accessories,Retail Value RSP,EUR million,Current Prices,241.6
33,France,Arts and Crafts,Retail Value RSP,EUR million,Current Prices,170.9
33,France,Baby and Infant,Retail Value RSP,EUR million,Current Prices,389
33,France,Construction,Retail Value RSP,EUR million,Current Prices,492.8
33,France,Dolls and Accessories,Retail Value RSP,EUR million,Current Prices,378.5
33,France,Dress-Up and Role Play,Retail Value RSP,EUR million,Current Prices,101.1
33,France,Games and Puzzles,Retail Value RSP,EUR million,Current Prices,617.3
33,France,Model Vehicles,Retail Value RSP,EUR million,Current Prices,97.5
33,France,Outdoor and Sports,Retail Value RSP,EUR million,Current Prices,264.3
33,France,Plush,Retail Value RSP,EUR million,Current Prices,115.3
33,France,Pre-School,Retail Value RSP,EUR million,Current Prices,205.3
33,France,Remote Control Toys,Retail Value RSP,EUR million,Current Prices,122.5
33,France,Ride-On Vehicles,Retail Value RSP,EUR million,Current Prices,43.5
33,France,Scientific/Educational,Retail Value RSP,EUR million,Current Prices,64.8
33,France,Other Traditional Toys and Games,Retail Value RSP,EUR million,Current Prices,125.2
33,France,Video Games Hardware,Retail Value RSP,EUR million,Current Prices,912.2
33,France,Video Games Software,Retail Value RSP,EUR million,Current Prices,2839.6
35,Germany,Action Figures and Accessories,Retail Value RSP,EUR million,Current Prices,439.7
35,Germany,Arts and Crafts,Retail Value RSP,EUR million,Current Prices,96.6
35,Germany,Baby and Infant,Retail Value RSP,EUR million,Current Prices,194.8
35,Germany,Construction,Retail Value RSP,EUR million,Current Prices,865.8
35,Germany,Dolls and Accessories,Retail Value RSP,EUR million,Current Prices,263.9
35,Germany,Dress-Up and Role Play,Retail Value RSP,EUR million,Current Prices,41.8
35,Germany,Games and Puzzles,Retail Value RSP,EUR million,Current Prices,627.5
35,Germany,Model Vehicles,Retail Value RSP,EUR million,Current Prices,214.3
35,Germany,Outdoor and Sports,Retail Value RSP,EUR million,Current Prices,223.5
35,Germany,Plush,Retail Value RSP,EUR million,Current Prices,223.8
35,Germany,Pre-School,Retail Value RSP,EUR million,Current Prices,374.7
35,Germany,Remote Control Toys,Retail Value RSP,EUR million,Current Prices,359.7
35,Germany,Ride-On Vehicles,Retail Value RSP,EUR million,Current Prices,124.3
35,Germany,Scientific/Educational,Retail Value RSP,EUR million,Current Prices,57.2
